name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ornithomonoglobus_A	15220	G	85	31	116	0.00003
Ornithomonoglobus	15219	G	69	16	85	0.00002
RGIG9115	15222	G	45	4	49	0.00001
CANQXJ01	15210	G	36	0	36	0.00001
12844	15205	G	27	0	27	0.00001
HGM11525	15213	G	18	18	36	0.00001
UBA1738	15226	G	14	3	17	0.00000
Ruminiclostridium	13175	G	702	175	877	0.00025
Herbivorax	13171	G	257	30	287	0.00008
Hungateiclostridium	13172	G	154	111	265	0.00008
Acetivibrio	13170	G	86	73	159	0.00005
JAEZTC01	13203	G	347	37	384	0.00011
DTU013	13182	G	235	27	262	0.00007
Pseudobacteroides	13178	G	221	24	245	0.00007
JAEZNF01	13177	G	15	1	16	0.00000
SKW86	13207	G	21	0	21	0.00001
DUMO01	13194	G	19	1	20	0.00001
Saccharofermentans	15012	G	871	68	939	0.00027
Firm-16	15010	G	28	13	41	0.00001
Firm-13	15009	G	24	20	44	0.00001
UBA5734	15020	G	381	51	432	0.00012
JAAYBY01	15014	G	197	356	553	0.00016
UBA8949	15021	G	51	47	98	0.00003
JAQVYV01	15018	G	45	0	45	0.00001
SLHU01	15019	G	18	1	19	0.00001
JAAYFZ01	15015	G	10	0	10	0.00000
DTU032	14986	G	378	58	436	0.00012
UBA5436	14994	G	48	23	71	0.00002
JAEWER01	14988	G	38	0	38	0.00001
SFFI01	14990	G	11	1	12	0.00000
JAAYKT01	14129	G	1686	240	1926	0.00055
BRH-c25	14126	G	265	24	289	0.00008
CALGKJ01	14127	G	120	0	120	0.00003
GWB2-37-7	14128	G	30	3	33	0.00001
Lutispora	14132	G	26	6	32	0.00001
Caldicoprobacter	13210	G	1378	777	2155	0.00061
DTU074	13211	G	13	3	16	0.00000
UBA3920	13227	G	242	258	500	0.00014
DUSN01	13215	G	56	2	58	0.00002
UBA5454	13220	G	23	5	28	0.00001
DUOA01	13213	G	12	0	12	0.00000
JAAYGY01	13222	G	17	2	19	0.00001
CANRHG01	13635	G	697	2	699	0.00020
Acetobacterium	13634	G	530	256	786	0.00022
UBA7485	13642	G	14	11	25	0.00001
Alkalibacter	13622	G	27	13	40	0.00001
Alkalibaculum_A	13624	G	24	1	25	0.00001
Irregularibacter	13645	G	39	9	48	0.00001
Garciella	13644	G	11	2	13	0.00000
Anaerofustis	13626	G	30	30	60	0.00002
CAMSGF01	13628	G	12	1	13	0.00000
CALGIV01	13646	G	18	0	18	0.00001
UBA1433	13647	G	16	2	18	0.00001
JAAWTG01	14974	G	1112	22	1134	0.00032
RUG12999	14977	G	294	1	295	0.00008
RGIG7450	14976	G	41	0	41	0.00001
Monoglobus	14148	G	736	105	841	0.00024
UMGS1820	14155	G	111	80	191	0.00005
CAMCUJ01	14146	G	36	2	38	0.00001
SIG440	14152	G	31	8	39	0.00001
RGIG1864	14140	G	16	1	17	0.00000
UBA1775	14142	G	13	0	13	0.00000
UMGS1388	14156	G	16	7	23	0.00001
HGM11507	15253	G	773	1652	2425	0.00069
RGIG1932	15254	G	34	1	35	0.00001
SIG452	15256	G	15	11	26	0.00001
SIG455	15251	G	455	0	455	0.00013
RGIG1828	15245	G	156	102	258	0.00007
Qingrenia	15244	G	49	8	57	0.00002
HGM11501	15258	G	520	217	737	0.00021
UMGS1883	15271	G	19	29	48	0.00001
JAFLUQ01	15267	G	15	0	15	0.00000
DTU059	13610	G	209	25	234	0.00007
Thermoclostridium_A	13616	G	73	106	179	0.00005
DTU069	13611	G	63	35	98	0.00003
SZUA-474	13617	G	25	0	25	0.00001
DUPQ01	13619	G	84	64	148	0.00004
JAFGUQ01	13621	G	70	11	81	0.00002
JAAYHZ01	13655	G	119	10	129	0.00004
UMGS1851	15201	G	30	1	31	0.00001
SIG427	15193	G	40	0	40	0.00001
JAQVDB01	13658	G	101	18	119	0.00003
JAKSBV01	14980	G	55	2	57	0.00002
Petroclostridium	14982	G	12	13	25	0.00001
CAKSKB01	13652	G	23	12	35	0.00001
RGIG6154	14968	G	15	1	16	0.00000
JAAYEV01	13230	G	11	10	21	0.00001
Caldanaerobacter	15280	G	92	14	106	0.00003
Thermoanaerobacterium	15282	G	58	20	78	0.00002
Thermoanaerobacter	15281	G	29	13	42	0.00001
Caldanaerobius	15278	G	41	1	42	0.00001
Caldicellulosiruptor	15277	G	65	4	69	0.00002
JANLFP01	15294	G	54	84	138	0.00004
Tepidanaerobacter	15295	G	50	61	111	0.00003
Biomaibacter	15290	G	18	1	19	0.00001
DTU063	15291	G	16	3	19	0.00001
Thermosediminibacter	15300	G	22	0	22	0.00001
ZC4RG34	15303	G	11	3	14	0.00000
Proteus	30519	G	2889	2135	5024	0.00143
Gilliamella	30476	G	2011	397	2408	0.00068
PD-1	30508	G	1818	592	2410	0.00068
Dickeya	30447	G	1626	355	1981	0.00056
Citrobacter	30441	G	1524	13	1537	0.00044
Pectobacterium	30511	G	1363	888	2251	0.00064
CALYQQ01	30434	G	1291	2	1293	0.00037
Lelliottia	30496	G	1275	102	1377	0.00039
Frischella	30466	G	1167	531	1698	0.00048
Xenorhabdus	30569	G	1145	138	1283	0.00036
Enterobacter	30455	G	1010	582	1592	0.00045
Providencia	30520	G	766	397	1163	0.00033
Buttiauxella	30432	G	743	170	913	0.00026
Yersinia	30570	G	523	200	723	0.00021
Silvania	30554	G	469	178	647	0.00018
Erwinia	30459	G	380	130	510	0.00014
Kosakonia	30493	G	354	210	564	0.00016
VOQV01	30567	G	303	32	335	0.00010
Rouxiella	30532	G	302	41	343	0.00010
Pseudocitrobacter	30527	G	290	265	555	0.00016
Photorhabdus	30514	G	244	10	254	0.00007
Pantoea	30509	G	222	38	260	0.00007
Citrobacter_A	30442	G	183	7	190	0.00005
Providencia_C	30523	G	152	55	207	0.00006
Leclercia_A	30495	G	135	185	320	0.00009
Rahnella	30529	G	134	13	147	0.00004
Klebsiella	30491	G	122	86	208	0.00006
Cronobacter	30445	G	117	81	198	0.00006
SoEE	30556	G	114	8	122	0.00003
Arsenophonus	30424	G	113	4	117	0.00003
Serratia_J	30549	G	98	7	105	0.00003
Brenneria	30430	G	94	11	105	0.00003
Erwinia_D	30461	G	80	38	118	0.00003
Morganella	30505	G	78	30	108	0.00003
Erwinia_C	30460	G	70	29	99	0.00003
Limnobaculum	30498	G	67	26	93	0.00003
Superficieibacter	30561	G	53	88	141	0.00004
Moranella	30504	G	45	5	50	0.00001
SZZU01	30533	G	39	4	43	0.00001
Escherichia	30462	G	36	125	161	0.00005
Chania	30439	G	33	4	37	0.00001
Serratia_G	30546	G	32	1	33	0.00001
Providencia_D	30524	G	31	4	35	0.00001
Phytobacter	30515	G	27	7	34	0.00001
Jejubacter	30490	G	26	7	33	0.00001
Pantoea_A	30510	G	26	3	29	0.00001
Serratia_A	30540	G	22	11	33	0.00001
Plesiomonas	30516	G	22	0	22	0.00001
Symbiopectobacterium	30562	G	22	26	48	0.00001
Fukatsuia	30467	G	18	1	19	0.00001
Ewingella	30463	G	17	2	19	0.00001
Hafnia	30478	G	15	7	22	0.00001
Regiella	30530	G	13	2	15	0.00000
Rosenbergiella	30531	G	12	1	13	0.00000
Pluralibacter	30517	G	11	14	25	0.00001
Colwellia	30370	G	4771	1631	6402	0.00182
Pseudoalteromonas	30398	G	3537	598	4135	0.00117
Paraglaciecola	30393	G	2730	372	3102	0.00088
Thalassotalea_B	30406	G	1389	1199	2588	0.00073
Thalassotalea_C	30407	G	1103	681	1784	0.00051
Alteromonas	30362	G	1023	185	1208	0.00034
Arsukibacterium	30365	G	915	981	1896	0.00054
Idiomarina	30375	G	852	708	1560	0.00044
Thalassotalea_A	30405	G	564	93	657	0.00019
Pararheinheimera	30395	G	355	19	374	0.00011
Cognaticolwellia	30369	G	348	91	439	0.00012
Aliiglaciecola	30359	G	308	36	344	0.00010
JAGSHH01	30380	G	241	123	364	0.00010
Glaciecola	30374	G	222	135	357	0.00010
Paraneptunicella	30394	G	192	24	216	0.00006
Pseudidiomarina	30397	G	176	44	220	0.00006
Opacimonas	30392	G	151	78	229	0.00006
Aestuariibacter_A	30355	G	131	9	140	0.00004
Aliidiomarina	30358	G	120	8	128	0.00004
Psychrosphaera	30400	G	97	20	117	0.00003
JABSOX01	30378	G	59	41	100	0.00003
Colwellia_A	30371	G	52	5	57	0.00002
GCA-2401725	30373	G	46	10	56	0.00002
Bowmanella	30366	G	42	6	48	0.00001
JABSOG01	30376	G	39	0	39	0.00001
CANMXU01	30367	G	38	3	41	0.00001
Thalassotalea_F	30410	G	32	12	44	0.00001
Alteromonas_F	30364	G	30	2	32	0.00001
Rheinheimera	30401	G	28	15	43	0.00001
Lacimicrobium	30387	G	19	1	20	0.00001
Litorilituus	30388	G	17	4	21	0.00001
Thalassomonas	30404	G	16	2	18	0.00001
Alteromonas_E	30363	G	15	6	21	0.00001
Alishewanella	30360	G	15	2	17	0.00000
Saccharobesus	30402	G	12	1	13	0.00000
Catenovulum	30368	G	10	1	11	0.00000
Vibrio	30693	G	14538	8057	22595	0.00641
Photobacterium	30689	G	3924	330	4254	0.00121
Of7-15	30687	G	826	36	862	0.00024
Aliivibrio	30681	G	727	71	798	0.00023
CAMQZF01	30682	G	480	15	495	0.00014
Veronia	30692	G	240	10	250	0.00007
Enterovibrio	30683	G	213	14	227	0.00006
Shewanella	30664	G	5169	1758	6927	0.00197
Parashewanella	30662	G	380	60	440	0.00012
Spirabiliibacterium	30652	G	1184	57	1241	0.00035
Bisgaardia	30619	G	913	54	967	0.00027
Haemophilus_D	30632	G	845	749	1594	0.00045
Gallibacterium	30627	G	833	7	840	0.00024
Aggregatibacter	30614	G	545	51	596	0.00017
Avibacterium	30615	G	187	137	324	0.00009
Haemophilus	30629	G	166	34	200	0.00006
Mannheimia	30640	G	148	16	164	0.00005
Chelonobacter	30622	G	144	4	148	0.00004
Pasteurella	30647	G	114	49	163	0.00005
Rodentibacter	30650	G	71	19	90	0.00003
Lonepinella	30639	G	65	26	91	0.00003
Otariodibacter	30646	G	58	18	76	0.00002
Phocoenobacter	30648	G	35	9	44	0.00001
Mesocricetibacter	30642	G	32	3	35	0.00001
GCF-002002485	30626	G	25	1	26	0.00001
Actinobacillus_C	30613	G	22	4	26	0.00001
Glaesserella	30628	G	15	25	40	0.00001
Histophilus	30634	G	10	1	11	0.00000
Kangiella	30603	G	1549	680	2229	0.00063
JAOUOC01	30601	G	1023	127	1150	0.00033
GCA-002733465	30599	G	206	9	215	0.00006
JAMXSB01	30600	G	129	2	131	0.00004
Aliikangiella	30598	G	34	12	46	0.00001
Pleionea	30604	G	28	0	28	0.00001
Buchnera	30575	G	765	109	874	0.00025
Lightella	30579	G	733	64	797	0.00023
Blochmannia	30574	G	433	17	450	0.00013
Tachikawaea	30586	G	288	71	359	0.00010
GCA-012562765	30578	G	81	21	102	0.00003
Wigglesworthia	30589	G	14	2	16	0.00000
Succinivibrio	30676	G	963	91	1054	0.00030
UBA2804	30677	G	448	50	498	0.00014
Anaerobiospirillum	30666	G	60	0	60	0.00002
Avisuccinivibrio	30668	G	52	0	52	0.00001
Succinimonas	30675	G	10	0	10	0.00000
GCA-2746155	30594	G	1128	282	1410	0.00040
Psychrobium	30657	G	663	1348	2011	0.00057
Psychromonas	30659	G	397	39	436	0.00012
Aeromonas	30342	G	209	35	244	0.00007
Oceanisphaera	30346	G	82	3	85	0.00002
Moritella	30605	G	117	17	134	0.00004
Neiella	30608	G	58	102	160	0.00005
Psittacicella	30656	G	29	0	29	0.00001
Aliagarivorans	30416	G	15	0	15	0.00000
Agarivorans	30414	G	12	2	14	0.00000
Portiera	30597	G	12	1	13	0.00000
Acinetobacter	31224	G	11238	4948	16186	0.00459
Psychrobacter	31244	G	3947	960	4907	0.00139
Moraxella	31240	G	1025	429	1454	0.00041
Aquirhabdus	31227	G	759	228	987	0.00028
CALFYA01	31229	G	532	169	701	0.00020
Perlucidibaca	31243	G	318	335	653	0.00019
JAJXWR01	31235	G	154	0	154	0.00004
CAJXOR01	31228	G	91	6	97	0.00003
Moraxella_A	31241	G	85	25	110	0.00003
Alkanindiges	31226	G	40	15	55	0.00002
Agitococcus	31225	G	32	11	43	0.00001
JABEVH01	31232	G	21	1	22	0.00001
ASP10-02a	31255	G	1303	81	1384	0.00039
Amphritea	31256	G	1223	102	1325	0.00038
Neptunomonas	31267	G	855	208	1063	0.00030
Neptuniibacter	31266	G	672	137	809	0.00023
Motiliproteus	31265	G	305	793	1098	0.00031
Rs1	31271	G	285	107	392	0.00011
Marinobacterium	31259	G	195	16	211	0.00006
Marinobacterium_C	31262	G	165	11	176	0.00005
Nitrincola	31268	G	156	18	174	0.00005
Marinobacterium_A	31260	G	99	9	108	0.00003
CALSNA01	31258	G	34	2	36	0.00001
Marinobacterium_B	31261	G	30	0	30	0.00001
Marinobacterium_D	31263	G	16	1	17	0.00000
Marinobacterium_E	31264	G	13	4	17	0.00000
Pseudomonas_E	31325	G	4050	2279	6329	0.00180
Halopseudomonas	31322	G	271	62	333	0.00009
Pseudomonas	31323	G	221	252	473	0.00013
Stutzerimonas	31333	G	148	218	366	0.00010
Thiopseudomonas	31334	G	102	28	130	0.00004
Entomomonas	31321	G	65	13	78	0.00002
Azotobacter	31320	G	32	10	42	0.00001
Pseudomonas_F	31326	G	11	5	16	0.00000
HTCC2207	31299	G	1495	634	2129	0.00060
Porticoccus	31306	G	1307	443	1750	0.00050
50-400-T64	31293	G	139	14	153	0.00004
HB2-32-21	31298	G	118	5	123	0.00003
SZUA-272	31308	G	44	1	45	0.00001
RFVC01	31314	G	1214	4	1218	0.00035
UBA9145	31317	G	1061	638	1699	0.00048
Pseudohongiella	31313	G	321	14	335	0.00010
UBA5078	31315	G	126	5	131	0.00004
UBA5109	31316	G	15	2	17	0.00000
Marinobacter	31284	G	1414	380	1794	0.00051
Hahella	31273	G	393	115	508	0.00014
PZPK01	31287	G	281	17	298	0.00008
Alkalimarinus	31272	G	128	20	148	0.00004
Oleiphilus	31286	G	24	3	27	0.00001
LZORAL124-50-18	31282	G	20	1	21	0.00001
JADJWY01	31279	G	10	4	14	0.00000
Vreelandella	31197	G	888	103	991	0.00028
Oceanospirillum	31189	G	523	19	542	0.00015
Marinospirillum	31187	G	310	88	398	0.00011
Halomonas	31182	G	195	31	226	0.00006
Billgrantia	31176	G	94	14	108	0.00003
Pseudospirillum	31193	G	40	6	46	0.00001
Kushneria	31184	G	34	1	35	0.00001
Modicisalibacter	31188	G	26	3	29	0.00001
Carnimonas	31178	G	13	2	15	0.00000
Cellvibrio	31101	G	911	108	1019	0.00029
Microbulbifer	31115	G	311	11	322	0.00009
Teredinibacter	31121	G	188	9	197	0.00006
Pseudoteredinibacter	31117	G	149	31	180	0.00005
Saccharophagus	31118	G	148	21	169	0.00005
CAJWCA01	31098	G	130	0	130	0.00004
Pseudomaricurvus	31116	G	91	32	123	0.00003
Agarilytica	31096	G	33	1	34	0.00001
Sessilibacter	31119	G	13	0	13	0.00000
UBA4421	31081	G	640	73	713	0.00020
UBA9926	31087	G	291	8	299	0.00008
UBA4582	31082	G	252	50	302	0.00009
SZUA-309	31077	G	136	19	155	0.00004
JAHRVQ01	31061	G	135	5	140	0.00004
SMWK01	31075	G	104	22	126	0.00004
GCA-002726655	31058	G	82	46	128	0.00004
UBA9659	31086	G	78	12	90	0.00003
RGAU01	31071	G	60	0	60	0.00002
SYFY01	31076	G	19	3	22	0.00001
UBA7455	31084	G	18	0	18	0.00001
DC-out156	31057	G	14	0	14	0.00000
JASJXV01	31068	G	13	7	20	0.00001
UBA7434	31352	G	1831	7	1838	0.00052
42-54-T18	31215	G	748	37	785	0.00022
Ketobacter	31219	G	166	28	194	0.00006
GCA-2748575	31217	G	160	0	160	0.00005
HdN1	31218	G	39	17	56	0.00002
JARGPN01	31050	G	622	22	644	0.00018
Alcanivorax	31045	G	450	978	1428	0.00041
PGZG01	31051	G	10	0	10	0.00000
Venatoribacter	31142	G	363	220	583	0.00017
Oleispira	31140	G	241	36	277	0.00008
Bacterioplanoides	31133	G	112	60	172	0.00005
Kmv21	31137	G	111	5	116	0.00003
Bermanella	31134	G	42	1	43	0.00001
Luminiphilus	31170	G	475	43	518	0.00015
CALINF01	31155	G	209	6	215	0.00006
Halioglobus	31162	G	140	7	147	0.00004
Marinomonas	31223	G	845	221	1066	0.00030
Oceanicoccus	31130	G	702	30	732	0.00021
Dasania	31128	G	13	0	13	0.00000
JAHFSE01	31209	G	664	802	1466	0.00042
CAKMZJ01	31090	G	552	1	553	0.00016
Gynuella	31248	G	193	9	202	0.00006
Reinekea	31251	G	62	5	67	0.00002
Saccharospirillum	31253	G	30	0	30	0.00001
CAMLJR01	31092	G	276	10	286	0.00008
Zooshikella	31354	G	198	3	201	0.00006
Spartinivicinus	31353	G	50	1	51	0.00001
Sansalvadorimonas	31149	G	139	3	142	0.00004
Endozoicomonas	31147	G	89	4	93	0.00003
JANQMK01	31212	G	234	0	234	0.00007
JAHEGP01	31207	G	213	2	215	0.00006
Spongiibacter_B	31340	G	69	40	109	0.00003
Marortus	31337	G	11	5	16	0.00000
GM7GCV1	31151	G	38	5	43	0.00001
JABJGI01	31152	G	10	0	10	0.00000
JAJFKB01	31202	G	33	14	47	0.00001
Umboniibacter	31131	G	31	1	32	0.00001
PIVM01	31292	G	23	1	24	0.00001
CAKMZU01	31143	G	17	1	18	0.00001
UBA5518	31345	G	13	11	24	0.00001
GCA-002402085	31343	G	12	2	14	0.00000
JAPORK01	31204	G	11	0	11	0.00000
Polynucleobacter	29773	G	5274	755	6029	0.00171
Paraburkholderia	29756	G	2408	545	2953	0.00084
Rhodoferax	29794	G	1642	496	2138	0.00061
Undibacterium	29837	G	1636	1367	3003	0.00085
Limnohabitans	29727	G	1083	46	1129	0.00032
Aphodousia	29545	G	1016	201	1217	0.00035
Sutterella	29818	G	1008	279	1287	0.00037
Caballeronia	29584	G	842	173	1015	0.00029
Paenalcaligenes	29754	G	796	873	1669	0.00047
Variovorax	29840	G	766	431	1197	0.00034
Telluria	29821	G	595	240	835	0.00024
JAAYGT01	29632	G	586	56	642	0.00018
Rhodoferax_C	29797	G	530	94	624	0.00018
Zwartia	29848	G	502	28	530	0.00015
Giesbergeria	29613	G	481	233	714	0.00020
Jezberella	29715	G	470	114	584	0.00017
Oligella	29742	G	454	3	457	0.00013
Rhizobacter	29793	G	449	257	706	0.00020
Burkholderia	29560	G	411	200	611	0.00017
JAFTYR01	29658	G	407	122	529	0.00015
Acidovorax	29537	G	367	426	793	0.00023
Lautropia	29724	G	335	21	356	0.00010
Janthinobacterium	29714	G	293	16	309	0.00009
Advenella	29539	G	260	79	339	0.00010
Duodenibacillus	29604	G	241	31	272	0.00008
Algicoccus	29543	G	232	40	272	0.00008
Turicimonas	29827	G	219	3	222	0.00006
Herbaspirillum	29616	G	202	12	214	0.00006
Duganella	29603	G	190	63	253	0.00007
Limnohabitans_A	29728	G	184	68	252	0.00007
Mitsuaria	29737	G	181	123	304	0.00009
Caldimonas	29585	G	172	84	256	0.00007
Rubrivivax	29801	G	156	80	236	0.00007
UBA3064	29830	G	146	109	255	0.00007
Cupriavidus	29596	G	138	29	167	0.00005
Comamonas	29591	G	128	73	201	0.00006
Pseudoduganella	29775	G	128	38	166	0.00005
Pusillimonas_B	29781	G	125	97	222	0.00006
Quisquiliibacterium	29786	G	120	46	166	0.00005
Hydrogenophaga	29618	G	117	146	263	0.00007
Aquabacterium	29546	G	115	60	175	0.00005
Limnobacter	29726	G	115	75	190	0.00005
Rubrivivax_A	29802	G	107	19	126	0.00004
Noviherbaspirillum	29740	G	94	11	105	0.00003
Polaromonas	29771	G	94	27	121	0.00003
SYFN01	29809	G	94	51	145	0.00004
JALQUL01	29685	G	92	7	99	0.00003
Paracidovorax	29758	G	88	117	205	0.00006
Ideonella_A	29622	G	79	256	335	0.00010
Ralstonia	29791	G	77	107	184	0.00005
Pandoraea	29755	G	73	13	86	0.00002
UBA4615	29831	G	71	4	75	0.00002
Achromobacter	29535	G	71	82	153	0.00004
Collimonas	29590	G	68	9	77	0.00002
Sheuella	29815	G	63	29	92	0.00003
Xenophilus	29845	G	62	70	132	0.00004
Lampropedia	29723	G	60	13	73	0.00002
Hylemonella	29620	G	59	21	80	0.00002
Pusillimonas_C	29782	G	54	51	105	0.00003
UBA5157	29833	G	41	20	61	0.00002
Ramlibacter	29792	G	40	10	50	0.00001
UBA2334	29828	G	34	5	39	0.00001
Parasutterella	29762	G	33	2	35	0.00001
Ottowia	29745	G	33	70	103	0.00003
JAGXFR01	29663	G	29	24	53	0.00002
Paralcaligenes	29759	G	26	1	27	0.00001
SYIM01	29810	G	26	0	26	0.00001
JAKOQB01	29679	G	25	26	51	0.00001
Paucibacter	29764	G	24	0	24	0.00001
PKWO01	29752	G	24	0	24	0.00001
Trinickia	29826	G	22	4	26	0.00001
Ideonella	29621	G	22	23	45	0.00001
Oxalicibacterium	29746	G	21	8	29	0.00001
CAMLDH01	29576	G	20	1	21	0.00001
JAJYRX01	29675	G	20	0	20	0.00001
JAAFIP01	29628	G	19	3	22	0.00001
Castellaniella	29588	G	16	10	26	0.00001
Tepidicella	29822	G	16	24	40	0.00001
CANFOR01	29580	G	15	0	15	0.00000
Oxalobacter	29747	G	15	2	17	0.00000
G025836975	29610	G	15	4	19	0.00001
Rhodoferax_A	29795	G	14	4	18	0.00001
Alcaligenes	29542	G	13	4	17	0.00000
PBB1	29748	G	13	2	15	0.00000
Solimicrobium	29816	G	13	0	13	0.00000
Malikia	29732	G	12	10	22	0.00001
JACMQX01	29638	G	11	1	12	0.00000
Paucibacter_A	29765	G	11	1	12	0.00000
LMDS01	29720	G	11	4	15	0.00000
Zeimonas	29847	G	10	8	18	0.00001
AVCC01	29534	G	10	0	10	0.00000
Bordetella_C	29557	G	10	4	14	0.00000
RS62	29790	G	10	7	17	0.00000
Pusillimonas	29779	G	10	28	38	0.00001
Nitrosomonas	29979	G	1646	1122	2768	0.00079
BJGV01	29977	G	610	62	672	0.00019
GCA-2721545	29978	G	534	21	555	0.00016
Nitrosospira	29980	G	18	2	20	0.00001
Propionivibrio	30040	G	481	155	636	0.00018
Azonexus	29992	G	470	587	1057	0.00030
Sulfuritalea	30051	G	279	164	443	0.00013
Azovibrio	29995	G	236	5	241	0.00007
Nitrogeniibacter	30035	G	230	65	295	0.00008
Pseudothauera	30042	G	229	65	294	0.00008
Desulfobacillus	30006	G	151	289	440	0.00012
Sulfuricystis	30049	G	126	215	341	0.00010
Zoogloea	30060	G	100	6	106	0.00003
JAEUNJ01	30017	G	96	8	104	0.00003
Georgfuchsia	30010	G	83	2	85	0.00002
WRNU01	30059	G	30	0	30	0.00001
JARFTX01	30027	G	18	6	24	0.00001
SFHR01	30045	G	17	6	23	0.00001
Methyloversatilis	30032	G	16	3	19	0.00001
Azoarcus_F	29991	G	16	3	19	0.00001
Aromatoleum	29989	G	15	3	18	0.00001
Dactylopiibacterium	30004	G	13	1	14	0.00000
Azoarcus	29990	G	12	3	15	0.00000
Accumulibacter	29988	G	11	5	16	0.00000
JADJEF01	30016	G	10	0	10	0.00000
Methylotenera	29946	G	1450	262	1712	0.00049
CAIJXJ01	29931	G	145	319	464	0.00013
GCA-2401735	29934	G	142	6	148	0.00004
Methylovorus	29948	G	126	20	146	0.00004
BACL14	29929	G	116	83	199	0.00006
JACMMS01	29936	G	112	0	112	0.00003
Methylotenera_A	29947	G	75	34	109	0.00003
Methylophilus	29942	G	54	19	73	0.00002
Methylopumilus	29943	G	34	4	38	0.00001
Methylopumilus_A	29944	G	15	2	17	0.00000
Gallionella	29904	G	1802	1189	2991	0.00085
Nitrotoga	29910	G	83	9	92	0.00003
Sideroxyarcus	29913	G	70	3	73	0.00002
VIKH01	29914	G	10	0	10	0.00000
GCA-2704665	30127	G	1032	940	1972	0.00056
UBA3031	30128	G	508	194	702	0.00020
Casimicrobium	29859	G	639	5	644	0.00018
PALSA-1005	29863	G	571	114	685	0.00019
JACPUX01	29860	G	113	25	138	0.00004
UBA931	29864	G	34	19	53	0.00002
VBCG01	29865	G	25	6	31	0.00001
PALSA-1003	29862	G	11	0	11	0.00000
Neisseria	29967	G	310	87	397	0.00011
CAKARD01	29956	G	243	51	294	0.00008
Alysiella	29953	G	206	9	215	0.00006
Snodgrassella	29973	G	188	48	236	0.00007
JASLFS01	29962	G	92	73	165	0.00005
RGIG3394	29970	G	58	1	59	0.00002
Kingella_A	29964	G	38	40	78	0.00002
QFNR01	29969	G	36	4	40	0.00001
CAJPNX01	29954	G	19	6	25	0.00001
RGIG9985	29971	G	16	4	20	0.00001
JAGNPU01	29959	G	12	0	12	0.00000
Paludibacterium	29887	G	274	36	310	0.00009
Craterilacuibacter	29883	G	245	122	367	0.00010
Aquitalea	29881	G	216	41	257	0.00007
Vogesella	29890	G	16	7	23	0.00001
Chromobacterium	29882	G	15	3	18	0.00001
Chitinibacter	29868	G	284	8	292	0.00008
Iodobacter	29874	G	249	28	277	0.00008
Deefgea	29872	G	125	4	129	0.00004
Kinetoplastibacterium	29851	G	549	128	677	0.00019
UBA7377	29853	G	27	2	29	0.00001
Profftella	29852	G	19	3	22	0.00001
JASGCH01	29850	G	18	0	18	0.00001
Aquella	30126	G	364	82	446	0.00013
PALSA-1004	30101	G	93	10	103	0.00003
Ga0077527	30098	G	78	11	89	0.00003
UBA5216	30103	G	12	0	12	0.00000
Sulfuriferula_A	30111	G	123	26	149	0.00004
UBA2487	30112	G	32	9	41	0.00001
PFJX01	30119	G	64	8	72	0.00002
Thiobacillus	30123	G	28	26	54	0.00002
PN-J185	29898	G	47	13	60	0.00002
CAIVHB01	29891	G	38	3	41	0.00001
Ferrovum	29893	G	10	0	10	0.00000
2-02-FULL-62-17	30063	G	51	17	68	0.00002
CAIYPG01	30074	G	11	0	11	0.00000
Leeia	29928	G	75	1	76	0.00002
UKL13-2	30143	G	52	12	64	0.00002
JANXWW01	30141	G	13	0	13	0.00000
CALJLA01	29856	G	47	184	231	0.00007
Sulfuricella	30107	G	36	3	39	0.00001
Rivihabitans	29530	G	27	1	28	0.00001
CAIKXV01	29855	G	23	3	26	0.00001
JABEVD01	29915	G	12	0	12	0.00000
Chitinimonas	29877	G	10	1	11	0.00000
CACNXK01	31394	G	890	4	894	0.00025
SAR86A	31400	G	836	855	1691	0.00048
D2472	31396	G	605	323	928	0.00026
CACKPV01	31393	G	475	938	1413	0.00040
SCGC-AAA076-P13	31401	G	131	84	215	0.00006
VMDH01	31402	G	71	28	99	0.00003
MED-G78	31397	G	55	29	84	0.00002
MED-G82	31398	G	25	79	104	0.00003
CACEJU01	31392	G	10	6	16	0.00000
GCA-2707915	31407	G	601	131	732	0.00021
GCA-2730855	31408	G	141	94	235	0.00007
MEDG-81	31391	G	602	4	606	0.00017
AG-339-G14	31388	G	35	1	36	0.00001
CACNYO01	31389	G	21	0	21	0.00001
TMED112	31410	G	108	97	205	0.00006
Legionella	30912	G	3497	903	4400	0.00125
Tatlockia	30917	G	734	93	827	0.00023
Legionella_C	30915	G	412	131	543	0.00015
Legionella_A	30913	G	313	40	353	0.00010
CAMBHM01	30892	G	254	0	254	0.00007
JACETI01	30902	G	217	0	217	0.00006
CANNJI01	30895	G	117	8	125	0.00004
JAALKW01	30901	G	81	2	83	0.00002
JAGVKL01	30905	G	45	12	57	0.00002
DDPF01	30897	G	33	1	34	0.00001
JAFIFT01	30903	G	26	3	29	0.00001
UBA2653	30919	G	12	1	13	0.00000
JAUYQG01	30909	G	12	0	12	0.00000
GCA-2786165	30898	G	10	5	15	0.00000
2-12-FULL-35-11	30888	G	10	2	12	0.00000
Methylomonas	30952	G	1012	52	1064	0.00030
Methyloprofundus	30953	G	433	123	556	0.00016
UBA4132	30963	G	426	91	517	0.00015
